City,Poverty Level,State Poverty Level,Bach.City,Bach.State,Median Household Income City,Median Income State,State
DENVER,19.10,13.20,42.90,37.00,50313.00,58433.00,CO
PUEBLO,23.90,13.20,19.70,37.00,34663.00,58433.00,CO
MINNEAPOLIS,22.50,11.50,45.70,32.60,49885.00,59836.00,MN
DISTRICT OF COLUMBIA,18.60,15.40,52.40,28.80,65830.00,53046.00,DC
KANSAS CITY,19.10,15.50,31.30,26.20,45275.00,47380.00,MO
CLEVELAND,35.40,15.80,14.90,25.20,26217.00,48308.00,OH
ST LOUIS,10.90,15.50,40.60,26.20,58910.00,47380.00,MO
MIAMI,19.90,16.30,26.30,26.40,43100.00,46956.00,FL
JACKSONVILLE,17.30,16.30,25.50,26.40,47557.00,46956.00,FL
PHILADELPHIA,26.50,13.30,23.90,27.50,37192.00,52548.00,PA
